House type,Regions,Periods,Initial Housing Stock
T001100,NL01  ,2012,7386743
T001100,NL01  ,2013,7449298
T001100,NL01  ,2014,7535316
T001100,NL01  ,2015,7587964
T001100,NL01  ,2016,7641323
T001100,NL01  ,2017,7686178
T001100,NL01  ,2018,7740984
T001100,NL01  ,2019,7814912
T001100,NL01  ,2020,7891786
T001100,NL01  ,2021,7966331
T001100,NL01  ,2022,8045580
T001100,NL01  ,2023,8125229
T001100,NL01  ,2024,8204049
T001100,LD01  ,2012,772104
T001100,LD01  ,2013,771736
T001100,LD01  ,2014,781292
T001100,LD01  ,2015,785326
T001100,LD01  ,2016,788884
T001100,LD01  ,2017,792430
T001100,LD01  ,2018,796356
T001100,LD01  ,2019,802097
T001100,LD01  ,2020,807876
T001100,LD01  ,2021,814261
T001100,LD01  ,2022,820520
T001100,LD01  ,2023,827237
T001100,LD01  ,2024,832867
T001100,LD02  ,2012,1485826
T001100,LD02  ,2013,1504734
T001100,LD02  ,2014,1518500
T001100,LD02  ,2015,1530620
T001100,LD02  ,2016,1542330
T001100,LD02  ,2017,1549652
T001100,LD02  ,2018,1560427
T001100,LD02  ,2019,1577836
T001100,LD02  ,2020,1594895
T001100,LD02  ,2021,1612176
T001100,LD02  ,2022,1628674
T001100,LD02  ,2023,1644939
T001100,LD02  ,2024,1662092
T001100,LD03  ,2012,3568335
T001100,LD03  ,2013,3596393
T001100,LD03  ,2014,3636076
T001100,LD03  ,2015,3661234
T001100,LD03  ,2016,3689052
T001100,LD03  ,2017,3712700
T001100,LD03  ,2018,3738798
T001100,LD03  ,2019,3775050
T001100,LD03  ,2020,3815173
T001100,LD03  ,2021,3851851
T001100,LD03  ,2022,3891537
T001100,LD03  ,2023,3930019
T001100,LD03  ,2024,3969640
T001100,LD04  ,2012,1560443
T001100,LD04  ,2013,1576411
T001100,LD04  ,2014,1599446
T001100,LD04  ,2015,1610784
T001100,LD04  ,2016,1621032
T001100,LD04  ,2017,1631393
T001100,LD04  ,2018,1645403
T001100,LD04  ,2019,1659929
T001100,LD04  ,2020,1673842
T001100,LD04  ,2021,1688043
T001100,LD04  ,2022,1704849
T001100,LD04  ,2023,1723034
T001100,LD04  ,2024,1739450
T001100,PV20  ,2012,265332
T001100,PV20  ,2013,267466
T001100,PV20  ,2014,271087
T001100,PV20  ,2015,272774
T001100,PV20  ,2016,274719
T001100,PV20  ,2017,276727
T001100,PV20  ,2018,277113
T001100,PV20  ,2019,279662
T001100,PV20  ,2020,282047
T001100,PV20  ,2021,285012
T001100,PV20  ,2022,287568
T001100,PV20  ,2023,290562
T001100,PV20  ,2024,292812
T001100,PV21  ,2012,287340
T001100,PV21  ,2013,289380
T001100,PV21  ,2014,292180
T001100,PV21  ,2015,294169
T001100,PV21  ,2016,295540
T001100,PV21  ,2017,296463
T001100,PV21  ,2018,298425
T001100,PV21  ,2019,300238
T001100,PV21  ,2020,302578
T001100,PV21  ,2021,304693
T001100,PV21  ,2022,306633
T001100,PV21  ,2023,308768
T001100,PV21  ,2024,310787
T001100,PV22  ,2012,219432
T001100,PV22  ,2013,214890
T001100,PV22  ,2014,218025
T001100,PV22  ,2015,218383
T001100,PV22  ,2016,218625
T001100,PV22  ,2017,219240
T001100,PV22  ,2018,220818
T001100,PV22  ,2019,222197
T001100,PV22  ,2020,223251
T001100,PV22  ,2021,224556
T001100,PV22  ,2022,226319
T001100,PV22  ,2023,227907
T001100,PV22  ,2024,229268
T001100,PV23  ,2012,482572
T001100,PV23  ,2013,485391
T001100,PV23  ,2014,487577
T001100,PV23  ,2015,490227
T001100,PV23  ,2016,493757
T001100,PV23  ,2017,497361
T001100,PV23  ,2018,499951
T001100,PV23  ,2019,505343
T001100,PV23  ,2020,510296
T001100,PV23  ,2021,514993
T001100,PV23  ,2022,518558
